FIPS,State,County,Diabetes_Percentage_2008,Diabetes_Percentage_2013,Obesity_Percentage_2012,Obesity_Percentage_2017,Recreation_Facilities_2011,Recreation_Facilities_2016,Recreation_Facilities_per_1000_2011,Recreation_Facilities_per_1000_2016,Recreation_Facilities_Percent_Change_2011_16,Recreation_Facilities_Per_1000_Pop_Percent_Change_2011_16
1001,AL,Autauga,11.4,13.0,33.0,36.3,4,6,0.072465081,0.108542277,50.0,49.785629002
1003,AL,Baldwin,9.8,10.4,33.0,36.3,16,21,0.085775247,0.10120043,31.25,17.983256148
1005,AL,Barbour,13.6,18.4,33.0,36.3,2,0,0.073123469,0.0,-100.0,-100.0
1007,AL,Bibb,11.1,14.8,33.0,36.3,0,1,0.0,0.0441833,,
1009,AL,Blount,11.4,14.1,33.0,36.3,3,4,0.0521177,0.069490289,33.333333333,33.333333333
1011,AL,Bullock,14.9,19.6,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1013,AL,Butler,15.1,17.7,33.0,36.3,0,1,0.0,0.0500877,,
1015,AL,Calhoun,14.5,14.9,33.0,36.3,8,7,0.067920363,0.0608802,-12.5,-10.365389633
1017,AL,Chambers,16.1,16.4,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1019,AL,Cherokee,13.6,13.3,33.0,36.3,1,1,0.0384719,0.0388108,0.0,0.881005977
1021,AL,Chilton,10.2,13.3,33.0,36.3,2,2,0.0457792,0.0456308,0.0,-0.32397901
1023,AL,Choctaw,14.7,18.1,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1025,AL,Clarke,14.1,16.3,33.0,36.3,2,2,0.07817997,0.082135524,0.0,5.059548255
1027,AL,Clay,13.2,14.6,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1029,AL,Cleburne,11.0,12.6,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1031,AL,Coffee,12.1,15.9,33.0,36.3,3,4,0.0594837,0.078099069,33.333333333,31.294947641
1033,AL,Colbert,13.5,18.7,33.0,36.3,5,5,0.091685921,0.092035268,0.0,0.381026009
1035,AL,Conecuh,14.5,17.4,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1037,AL,Coosa,13.2,17.3,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1039,AL,Covington,13.1,14.7,33.0,36.3,2,4,0.052608,0.106991922,100.0,103.375595143
1041,AL,Crenshaw,12.6,16.5,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1043,AL,Cullman,11.9,14.4,33.0,36.3,3,4,0.0373083,0.0485897,33.333333333,30.238170436
1045,AL,Dale,13.5,14.1,33.0,36.3,3,2,0.0598719,0.0406273,-33.333333333,-32.142953874
1047,AL,Dallas,15.6,19.0,33.0,36.3,1,2,0.0231182,0.049899,100.0,115.842918091
1049,AL,DeKalb,11.2,13.4,33.0,36.3,5,3,0.070074138,0.0421254,-40.0,-39.8845765
1051,AL,Elmore,9.9,13.4,33.0,36.3,4,4,0.0499963,0.0492368,0.0,-1.518956179
1053,AL,Escambia,12.3,17.8,33.0,36.3,2,2,0.0523533,0.0533675,0.0,1.937239833
1055,AL,Etowah,11.6,16.8,33.0,36.3,7,8,0.067079364,0.077877071,14.285714286,16.096912452
1057,AL,Fayette,12.7,15.1,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1059,AL,Franklin,12.8,13.9,33.0,36.3,3,3,0.094437624,0.095005859,0.0,0.601703772
1061,AL,Geneva,12.6,13.9,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1063,AL,Greene,18.2,21.0,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1065,AL,Hale,15.1,16.0,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1067,AL,Henry,13.5,18.7,33.0,36.3,1,0,0.0575506,0.0,-100.0,-100.0
1069,AL,Houston,12.4,13.7,33.0,36.3,5,10,0.0487957,0.095994164,100.0,96.726599023
1071,AL,Jackson,11.9,14.9,33.0,36.3,1,1,0.0187928,0.0192127,0.0,2.234432938
1073,AL,Jefferson,12.0,13.0,33.0,36.3,62,73,0.094255149,0.110648476,17.741935484,17.392500459
1075,AL,Lamar,12.7,14.9,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1077,AL,Lauderdale,12.8,14.2,33.0,36.3,6,9,0.064792717,0.097488058,50.0,50.461443473
1079,AL,Lawrence,12.9,15.6,33.0,36.3,1,2,0.0293712,0.060183,100.0,104.904910929
1081,AL,Lee,9.6,9.5,33.0,36.3,8,7,0.0555105,0.0440299,-12.5,-20.681849632
1083,AL,Limestone,10.4,12.6,33.0,36.3,3,7,0.0350754,0.07533362,133.333333333,114.776151528
1085,AL,Lowndes,17.1,23.5,33.0,36.3,1,1,0.08984726,0.097646714,0.0,8.680792891
1087,AL,Macon,16.2,18.4,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1089,AL,Madison,13.0,11.5,33.0,36.3,56,50,0.164939223,0.140326455,-10.714285714,-14.922325298
1091,AL,Marengo,15.9,20.2,33.0,36.3,2,2,0.096856991,0.102537811,0.0,5.865162779
1093,AL,Marion,11.7,18.7,33.0,36.3,0,3,0.0,0.100260678,,
1095,AL,Marshall,11.5,12.8,33.0,36.3,4,4,0.042603,0.0420862,0.0,-1.213135107
1097,AL,Mobile,12.2,15.6,33.0,36.3,30,31,0.072598443,0.074725444,3.333333333,2.929815934
1099,AL,Monroe,13.5,17.8,33.0,36.3,0,1,0.0,0.0463564,,
1101,AL,Montgomery,12.7,13.5,33.0,36.3,19,20,0.082910779,0.088216094,5.263157895,6.398824033
1103,AL,Morgan,11.0,12.6,33.0,36.3,6,7,0.0499971,0.0589131,16.666666667,17.833146775
1105,AL,Perry,17.5,21.7,33.0,36.3,0,0,0.0,0.0,0.0,0.0
1107,AL,Pickens,14.9,16.4,33.0,36.3,2,2,0.103337811,0.098449422,0.0,-4.730494708
1109,AL,Pike,12.9,13.5,33.0,36.3,2,2,0.0606667,0.0602138,0.0,-0.74665061
1111,AL,Randolph,12.9,14.9,33.0,36.3,1,0,0.0439754,0.0,-100.0,-100.0
1113,AL,Russell,13.6,12.9,33.0,36.3,4,4,0.072948772,0.068755694,0.0,-5.747976004
1115,AL,St. Clair,11.4,12.8,33.0,36.3,4,3,0.0474997,0.0342928,-25.0,-27.804291168
1117,AL,Shelby,8.0,8.7,33.0,36.3,20,31,0.101068803,0.146868619,55.0,45.315483269
1119,AL,Sumter,17.1,20.1,33.0,36.3,1,1,0.07412349,0.07732756,0.0,4.322610578
1121,AL,Talladega,13.6,15.3,33.0,36.3,2,0,0.0244523,0.0,-100.0,-100.0
1123,AL,Tallapoosa,14.3,13.7,33.0,36.3,1,1,0.0241581,0.0246463,0.0,2.020998669
1125,AL,Tuscaloosa,11.1,12.3,33.0,36.3,13,12,0.066090829,0.0581728,-7.692307692,-11.980537472
1127,AL,Walker,13.3,16.7,33.0,36.3,6,5,0.090121213,0.077446136,-16.666666667,-14.06447649
1129,AL,Washington,12.9,17.8,33.0,36.3,0,0,0.0,0.0,0.0,0.0
